Index,ID,DAY,Grupe.ID,Sum of Grupe.nr_persoane,Grupe.speciality,LANGUAGE,Sum of NO_LESSONS_IN_2_WEEKS,PAIR,Profesori.ID,Profesori.NAME,SEMESTER,SUBJECT,TYPE
0,2,MONDAY,1,31,AI-231,ro,2,1,2,Antonino Pizelato,2,AM2,teorie
1,2,MONDAY,1,31,AI-231,ro,2,2,2,Antonino Pizelato,2,AM2,teorie
2,2,MONDAY,1,31,AI-231,ro,2,3,2,Antonino Pizelato,2,AM2,teorie
3,2,MONDAY,1,31,AI-231,ro,2,4,2,Antonino Pizelato,2,AM2,teorie
4,2,MONDAY,1,31,AI-231,ro,2,5,2,Antonino Pizelato,2,AM2,teorie
5,2,MONDAY,1,31,AI-231,ro,2,6,2,Antonino Pizelato,2,AM2,teorie
6,2,MONDAY,1,31,AI-231,ro,2,7,2,Antonino Pizelato,2,AM2,teorie
7,2,WEDNESDAY,1,31,AI-231,ro,2,1,2,Antonino Pizelato,2,AM2,teorie
8,2,WEDNESDAY,1,31,AI-231,ro,2,2,2,Antonino Pizelato,2,AM2,teorie
9,2,WEDNESDAY,1,31,AI-231,ro,2,3,2,Antonino Pizelato,2,AM2,teorie
10,2,WEDNESDAY,1,31,AI-231,ro,2,4,2,Antonino Pizelato,2,AM2,teorie
11,2,WEDNESDAY,1,31,AI-231,ro,2,5,2,Antonino Pizelato,2,AM2,teorie
12,2,WEDNESDAY,1,31,AI-231,ro,2,6,2,Antonino Pizelato,2,AM2,teorie
13,2,WEDNESDAY,1,31,AI-231,ro,2,7,2,Antonino Pizelato,2,AM2,teorie
14,2,FRIDAY,1,31,AI-231,ro,2,1,2,Antonino Pizelato,2,AM2,teorie
15,2,FRIDAY,1,31,AI-231,ro,2,2,2,Antonino Pizelato,2,AM2,teorie
16,2,FRIDAY,1,31,AI-231,ro,2,3,2,Antonino Pizelato,2,AM2,teorie
17,2,FRIDAY,1,31,AI-231,ro,2,4,2,Antonino Pizelato,2,AM2,teorie
18,2,FRIDAY,1,31,AI-231,ro,2,5,2,Antonino Pizelato,2,AM2,teorie
19,2,FRIDAY,1,31,AI-231,ro,2,6,2,Antonino Pizelato,2,AM2,teorie
20,2,FRIDAY,1,31,AI-231,ro,2,7,2,Antonino Pizelato,2,AM2,teorie
21,2,MONDAY,3,28,CR-231,ro,2,1,2,Antonino Pizelato,2,AM2,teorie
22,2,MONDAY,3,28,CR-231,ro,2,2,2,Antonino Pizelato,2,AM2,teorie
23,2,MONDAY,3,28,CR-231,ro,2,3,2,Antonino Pizelato,2,AM2,teorie
24,2,MONDAY,3,28,CR-231,ro,2,4,2,Antonino Pizelato,2,AM2,teorie
25,2,MONDAY,3,28,CR-231,ro,2,5,2,Antonino Pizelato,2,AM2,teorie
26,2,MONDAY,3,28,CR-231,ro,2,6,2,Antonino Pizelato,2,AM2,teorie
27,2,MONDAY,3,28,CR-231,ro,2,7,2,Antonino Pizelato,2,AM2,teorie
28,2,WEDNESDAY,3,28,CR-231,ro,2,1,2,Antonino Pizelato,2,AM2,teorie
29,2,WEDNESDAY,3,28,CR-231,ro,2,2,2,Antonino Pizelato,2,AM2,teorie
30,2,WEDNESDAY,3,28,CR-231,ro,2,3,2,Antonino Pizelato,2,AM2,teorie
31,2,WEDNESDAY,3,28,CR-231,ro,2,4,2,Antonino Pizelato,2,AM2,teorie
32,2,WEDNESDAY,3,28,CR-231,ro,2,5,2,Antonino Pizelato,2,AM2,teorie
33,2,WEDNESDAY,3,28,CR-231,ro,2,6,2,Antonino Pizelato,2,AM2,teorie
34,2,WEDNESDAY,3,28,CR-231,ro,2,7,2,Antonino Pizelato,2,AM2,teorie
35,2,FRIDAY,3,28,CR-231,ro,2,1,2,Antonino Pizelato,2,AM2,teorie
36,2,FRIDAY,3,28,CR-231,ro,2,2,2,Antonino Pizelato,2,AM2,teorie
37,2,FRIDAY,3,28,CR-231,ro,2,3,2,Antonino Pizelato,2,AM2,teorie
38,2,FRIDAY,3,28,CR-231,ro,2,4,2,Antonino Pizelato,2,AM2,teorie
